baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
True,1644074416.5454202,5,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.609375,0.9229902923107147,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074419.4788952,5,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.625,0.9527240693569183,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074422.3222892,5,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.5989583432674408,0.834976315498352,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074427.3311822,9,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.8229166716337204,0.4897768422961235,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074430.0256937,9,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.640625,0.7839789465069771,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074432.5048947,9,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.578125,0.8491942435503006,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074439.0386956,10,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.609375,0.7839836776256561,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074442.0535033,10,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.546875,1.2109192907810211,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074444.5920277,10,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.5572916716337204,0.9451183527708054,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074452.167928,11,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.59375,0.8046897873282433,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074455.2793462,11,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.6510416716337204,0.7010294795036316,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074458.421247,11,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.6979166716337204,0.6168621778488159,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074467.5754,13,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.7708333432674408,0.4439180716872215,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074471.349726,13,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.6510416716337204,0.8964169472455978,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074475.1976058,13,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.6770833432674408,0.5998643338680267,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074484.5378675,18,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.984375,0.08285627630539238,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074489.2075038,18,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.953125,0.1596439816057682,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074493.112015,18,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.8854166716337204,0.24050012603402138,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074502.1510947,20,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.8333333432674408,0.39275437593460083,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074509.4060075,20,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.96875,0.19225134514272213,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074516.9970932,20,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.890625,0.22201312705874443,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074526.124446,21,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.65625,0.7904482781887054,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074530.9588077,21,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.5625,1.125493586063385,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074537.472784,21,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.7135416716337204,0.9502620100975037,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074545.9864738,32,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.9166666716337204,0.22127853333950043,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074551.4864445,32,2,"[4, 12]",[8],baseline_0.6597_1642517519,1.0,0.08267869846895337,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074555.630524,32,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.9375,0.2514285556972027,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074565.976663,33,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.84375,0.38383108377456665,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074569.060456,33,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.8541666716337204,0.4148498550057411,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074572.704207,33,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.6822916716337204,0.7888078689575195,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074581.4792051,40,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.5572916716337204,0.9694029241800308,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074584.3126702,40,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.6979166716337204,0.6206109523773193,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074586.9367208,40,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.7395833432674408,0.6567072868347168,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074593.6667209,43,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.7552083432674408,0.5199766382575035,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074596.239634,43,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.6875,0.9134545475244522,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074599.734531,43,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.71875,0.8427030295133591,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074608.6671607,46,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.75,0.43636955320835114,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074613.9806912,46,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.84375,0.39926872588694096,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074617.8253353,46,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.7083333432674408,0.5677655786275864,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074626.0768712,61,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.703125,0.6520649343729019,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074630.505447,61,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.7239583432674408,0.6511423736810684,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074636.1166496,61,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.7239583432674408,0.5591002330183983,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074644.3904617,68,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.7447916716337204,0.6424853056669235,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074653.1455235,68,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.84375,0.31814565788954496,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074655.9294338,68,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.7239583432674408,0.6309038996696472,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074664.646394,71,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.6197916716337204,0.7006746679544449,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074671.556173,71,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.7760416716337204,0.5902606025338173,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074675.4341688,71,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.7604166716337204,0.5125662311911583,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074683.0263526,72,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.765625,0.6763806343078613,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074690.3683894,72,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.8385416716337204,0.48861803486943245,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074697.3605285,72,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.8645833432674408,0.2757744546979666,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074704.768848,73,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.765625,0.5760685727000237,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074709.8543148,73,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.7135416716337204,0.698109820485115,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074714.7221737,73,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.703125,0.7667948603630066,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074722.3835042,74,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.7239583432674408,0.606141708791256,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074725.2911706,74,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.6458333432674408,0.7812296450138092,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074728.8052597,74,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.546875,1.0860821455717087,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074737.4141505,75,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.6197916716337204,0.7637912780046463,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074741.4135668,75,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.5208333358168602,0.9797875732183456,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074744.224126,75,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.484375,1.041060820221901,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074753.428423,76,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.6822916716337204,0.8119800686836243,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074757.2883456,76,2,"[4, 12]",[8],baseline_0.6597_1642517519,0.6354166716337204,0.9907972812652588,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074761.3867157,76,2,"[8, 4]",[12],baseline_0.6597_1642517519,0.6614583432674408,0.9161108285188675,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644074768.9517848,81,2,"[8, 12]",[4],baseline_0.6597_1642517519,0.7239583432674408,0.7402920424938202,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
